Math,Programming,Creativity,Communication,Analytical,ProblemSolving,Leadership,Career
9,10,5,5,9,8,4,Machine Learning Engineer
9,9,6,6,9,7,5,Data Scientist
8,8,7,5,9,9,4,AI Researcher
7,8,6,5,8,8,6,Prompt Engineer
7,6,4,6,9,7,5,Data Analyst
8,7,5,5,9,8,6,Cybersecurity AI Specialist
8,9,5,4,9,8,4,Robotics Engineer
7,8,4,5,9,7,4,Automation Specialist
7,9,6,5,7,6,4,Full Stack Developer
8,9,4,4,7,6,3,Backend Developer
5,7,8,6,6,5,4,Frontend Developer
7,8,5,4,8,7,3,Blockchain Developer
6,8,9,6,6,6,4,Game Developer
5,7,9,6,6,6,4,AR/VR Developer
7,8,4,6,8,7,7,Cloud Architect
6,6,4,6,9,8,5,Crypto Analyst
6,7,3,5,8,7,5,Network Engineer
7,6,4,5,8,7,4,System Administrator
7,8,5,6,9,8,6,Security Analyst
8,7,5,4,9,7,5,Penetration Tester
3,4,10,7,5,4,6,UI/UX Designer
3,3,10,6,4,4,3,Graphic Designer
4,5,8,9,6,6,6,Digital Marketer
3,4,9,9,6,5,7,Content Strategist
3,4,9,9,5,5,7,Social Media Manager
6,8,9,6,6,6,4,Game Developer
5,7,9,6,6,6,4,AR/VR Developer
6,5,5,8,8,8,7,Business Analyst
4,4,5,10,7,8,9,Project Manager
5,5,6,9,8,8,9,Product Manager
3,3,5,10,7,6,9,HR Manager
3,3,4,10,6,6,8,Recruitment Specialist
2,2,5,10,5,5,9,Sales Executive
5,5,6,9,7,6,8,Operations Manager
5,4,7,8,7,9,7,AI Fitness Coach
6,5,5,7,8,8,6,Sports Analyst
4,5,6,8,6,7,7,Wellness Consultant
3,4,6,8,5,5,6,Nutrition Advisor
7,8,6,6,8,7,6,DevOps Engineer
6,7,5,7,7,7,6,Technical Support Engineer
5,6,7,7,7,6,6,Customer Success Manager
8,8,5,5,9,8,5,AI Ethics Consultant
6,6,6,8,8,7,7,Quality Assurance Analyst
9,8,5,4,9,8,3,Cloud Engineer
7,6,8,9,6,7,8,PR Manager
5,6,8,9,5,6,8,Teacher
7,8,6,5,8,9,4,Machine Learning Engineer
8,7,6,5,8,7,4,AI Business Consultant
6,7,7,8,7,6,7,Project Coordinator